Year,Current_Account_Balance,Inflation,GDP,Unemployment
1960,2.254886293446556,4.14177915090215,15953203852.6831,5.700040816326531
1961,2.254886293446556,2.15797310981964,17354781170.8613,5.700040816326531
1962,2.254886293446556,4.76619721905823,18821353528.9936,5.700040816326531
1963,2.254886293446556,2.8717403448577,20371666154.3761,5.700040816326531
1964,2.254886293446556,3.38766231088349,22718426804.3529,5.700040816326531
1965,2.254886293446556,5.01277129643838,25000191834.4649,5.700040816326531
1966,2.254886293446556,6.40480825348414,27194141951.3307,5.700040816326531
1967,2.254886293446556,4.28931922993319,29517675437.3889,5.700040816326531
1968,2.254886293446556,1.94312582473244,31323283317.2145,5.700040816326531
1969,2.254886293446556,2.691994585557,34016617941.5889,1.89
1970,-0.664771293477067,7.01635885100763,38092452060.6201,1.51
1971,0.877664404423929,7.39554113837636,41566412922.6087,2.55
1972,1.1967056374158,6.00738969862495,48954145808.8359,2.7
1973,2.44375941438382,6.71799739819354,59404966684.2214,2.46
1974,-0.801880105792106,9.91172530113238,66013338964.725,1.98
1975,-0.371676674096143,9.77987398822576,82885397620.5385,1.62
1976,-1.79304910752842,10.2492246529784,89362071672.9034,1.61
1977,-2.24453375704951,11.4418051091077,94468740851.4816,5.700040816326531
1978,-0.182842839089696,9.99526541717732,104442351222.751,5.700040816326531
1979,-1.90368138315991,7.20978617047808,123386410160.715,5.700040816326531
1980,-3.04810034131979,13.7063223649005,142092068280.689,5.700040816326531
1981,-2.1417211351847,12.1039385302598,129686938223.328,5.700040816326531
1982,-2.87205088328781,8.58918509047123,114380557730.876,3.14
1983,-0.690240455476535,8.87302152363213,105014356666.797,3.48
1984,0.673894527439041,8.04424238994422,109201362581.3,3.07
1985,-0.885266710240753,7.37257458126246,114123537581.794,2.83
1986,0.0215068285018141,4.23591011089793,150498057723.623,2.23
1987,-0.0116302272424698,4.18857151771368,183009638350.893,2.15
1988,-0.257970894172002,5.82489868439437,206986674500.588,5.700040816326531
1989,-1.4228951160628,6.4432758742661,217948315624.564,1.46
1990,-2.42083150452015,10.3665533879493,261846194498.885,1.832
1991,-1.6967870240125,9.4446273294419,274229034311.699,3.243
1992,-3.10476220661386,2.3743672511188,284321115594.629,5.722
1993,-1.95313673473422,4.72817304626053,212953336588.123,9.33
1994,0.324242460969879,2.15813800724632,229033566614.826,9.58
1995,1.84820756730968,2.45514857818395,267305875261.099,8.897
1996,2.01966894887792,0.533131978766297,291743811512.079,9.547
1997,2.76181229491695,0.658410256243514,268146144677.73,10.359
1998,3.52554533887865,-0.267132668355006,270809066780.714,8.941
1999,3.93247929087321,0.462175756339173,274072182416.731,7.607
2000,4.44720881480935,0.899143734041633,262835454366.855,5.466
2001,6.17417150779211,2.40595834145438,242395852494.409,4.73
2002,4.66650957062381,2.15848213589264,266849061835.659,4.965
2003,5.85395625185695,1.92565534892391,334337212322.076,5.555
2004,5.94682462162939,0.373659828721813,385118044877.465,6.693
2005,6.01281268345627,0.453170852576182,392218088878.779,7.486
2006,8.1468586360913,1.3602146862768,423093437423.762,7.066
2007,8.12769590551447,2.21216883436735,491252589217.021,6.161
2008,7.88148566618713,3.43704910602874,517706149201.196,6.235
2009,5.93722788958589,-0.494460544377991,436537014293.554,8.351
2010,5.88848031612691,1.15798802715628,495812558843.31,8.61
2011,5.47615820395927,2.9611507382214,574094112972.733,7.804
2012,5.50556204200994,0.888377506923638,552483727282.802,7.976
2013,5.23207792432822,-0.0442929701485858,586841821796.891,8.052
2014,4.20943401717434,-0.179638494114635,581964017237.095,7.954
2015,3.19907455423356,-0.0467847449832812,505103781349.757,7.432
2016,2.19856084130717,0.984269244577992,515654671469.547,6.99
2017,2.77764886109438,1.79449904665589,541018749769.097,6.718
2018,2.46545914026436,1.95353530127028,555455371487.089,6.365
2019,5.33992472610685,1.78415097403835,533879529188.454,6.833
2020,5.89157106593447,0.497367318853572,547054174235.876,8.291
2021,7.0730881187754,2.16319736447153,639714956069.468,8.803
2022,5.39981011540878,8.36929098869189,590409594949.102,7.417
2023,6.75460005091344,8.54862489748902,593267701033.408,7.611
